transaction_id,transaction_date,transaction_amount,customer_id,customer_age,customer_income,product_category,payment_method,transaction_status,profit_margin
1,5/27/2021,3640.66,1,55,584130.26,clothing,credit card,completed,error: Field 'sale_price' not found
2,3/3/2020,7076.64,2,91,296888.53,electronics,credit card,refunded,error: Field 'sale_price' not found
3,5/21/2020,7056.76,3,87,451747.65,electronics,check,refunded,error: Field 'sale_price' not found
4,8/5/2021,146.14,4,56,702880.84,clothing,credit card,refunded,error: Field 'sale_price' not found
5,11/12/2022,5877.55,5,90,121030.52,electronics,cash,completed,error: Field 'sale_price' not found
6,8/9/2020,9636.49,6,77,908186.06,groceries,check,refunded,error: Field 'sale_price' not found
7,2/13/2021,7179.55,7,72,494241.68,groceries,cash,completed,error: Field 'sale_price' not found
8,12/17/2020,4228.66,8,33,734990.9,groceries,cash,pending,error: Field 'sale_price' not found
9,8/29/2020,375.58,9,68,99223.24,clothing,check,completed,error: Field 'sale_price' not found
10,6/14/2022,4586.35,10,100,207447.43,groceries,cash,completed,error: Field 'sale_price' not found
11,12/8/2021,1538.72,11,25,201295.02,groceries,credit card,refunded,error: Field 'sale_price' not found
12,8/16/2020,2917.37,12,48,400779.03,groceries,credit card,completed,error: Field 'sale_price' not found
13,1/23/2021,6901.8,13,29,362577.74,groceries,check,refunded,error: Field 'sale_price' not found
14,1/17/2020,921.43,14,25,153402.77,clothing,cash,completed,error: Field 'sale_price' not found
15,5/11/2021,794.93,15,44,206007.92,electronics,credit card,pending,error: Field 'sale_price' not found
16,10/12/2022,2321.26,16,72,209518.9,clothing,credit card,pending,error: Field 'sale_price' not found
17,12/30/2022,647.68,17,90,521003.92,groceries,credit card,refunded,error: Field 'sale_price' not found
18,2/3/2022,125.82,18,46,690089.18,electronics,cash,completed,error: Field 'sale_price' not found
19,1/1/2020,3633.7,19,69,530602.12,electronics,cash,pending,error: Field 'sale_price' not found
20,6/29/2020,1532.95,20,31,798641.3,groceries,cash,pending,error: Field 'sale_price' not found
21,7/16/2022,6139.27,21,26,243339.48,electronics,cash,completed,error: Field 'sale_price' not found
22,9/14/2021,7573.2,22,74,779772.23,electronics,credit card,completed,error: Field 'sale_price' not found
23,9/28/2020,6469.41,23,57,467742.67,electronics,check,pending,error: Field 'sale_price' not found
24,6/16/2020,9720.39,24,68,387277.58,clothing,credit card,completed,error: Field 'sale_price' not found
25,12/14/2020,7340.26,25,18,865551.39,clothing,check,refunded,error: Field 'sale_price' not found
26,9/30/2022,8864.72,26,80,539742.49,groceries,check,refunded,error: Field 'sale_price' not found
27,3/12/2022,2037.25,27,22,437921.32,groceries,check,pending,error: Field 'sale_price' not found
28,1/22/2020,3025.16,28,26,937352.51,clothing,check,refunded,error: Field 'sale_price' not found
29,1/27/2021,7824.21,29,30,520611.96,electronics,check,refunded,error: Field 'sale_price' not found
30,8/10/2022,5182.62,30,89,995646.93,electronics,cash,pending,error: Field 'sale_price' not found
31,5/29/2022,6331.94,31,59,895211.79,electronics,cash,completed,error: Field 'sale_price' not found
32,3/16/2021,6316.3,32,73,743094.18,clothing,credit card,pending,error: Field 'sale_price' not found
33,3/11/2020,8375.34,33,52,658402.05,electronics,cash,pending,error: Field 'sale_price' not found
34,8/4/2021,1240.42,34,22,604486.47,electronics,check,refunded,error: Field 'sale_price' not found
35,1/9/2020,3700.76,35,59,646837.25,clothing,credit card,completed,error: Field 'sale_price' not found
36,3/1/2021,3961.05,36,65,724225.85,electronics,check,completed,error: Field 'sale_price' not found
37,5/27/2020,3090.71,37,18,288682.17,groceries,credit card,pending,error: Field 'sale_price' not found
38,5/3/2022,3048.48,38,32,844786.06,electronics,check,pending,error: Field 'sale_price' not found
39,11/19/2020,2172.63,39,97,913107.85,groceries,credit card,completed,error: Field 'sale_price' not found
40,5/20/2020,5632.1,40,57,837791.79,clothing,credit card,refunded,error: Field 'sale_price' not found
41,11/2/2021,5364.06,41,79,876453.59,clothing,cash,completed,error: Field 'sale_price' not found
42,9/30/2022,1270.14,42,49,599358.77,clothing,cash,completed,error: Field 'sale_price' not found
43,6/30/2020,3614.84,43,62,186170.28,groceries,cash,pending,error: Field 'sale_price' not found
44,8/13/2022,806.35,44,41,625962.63,electronics,credit card,completed,error: Field 'sale_price' not found
45,5/23/2021,8911.57,45,72,93736.56,groceries,cash,pending,error: Field 'sale_price' not found
46,4/21/2020,3962.05,46,67,837217.72,electronics,check,completed,error: Field 'sale_price' not found
47,9/19/2021,5773.19,47,44,40254.94,groceries,cash,refunded,error: Field 'sale_price' not found
48,12/29/2022,138.71,48,53,717475.65,groceries,cash,pending,error: Field 'sale_price' not found
49,11/17/2020,4975.99,49,22,5646.8,clothing,credit card,completed,error: Field 'sale_price' not found
50,6/20/2021,7345.28,50,67,983970.27,groceries,cash,completed,error: Field 'sale_price' not found
51,4/26/2020,7747.64,51,88,104521.2,groceries,cash,completed,error: Field 'sale_price' not found
52,10/1/2022,1067.92,52,70,48333.75,groceries,check,pending,error: Field 'sale_price' not found
53,2/4/2022,4486.74,53,75,905458.94,groceries,credit card,pending,error: Field 'sale_price' not found
54,5/18/2020,4172.22,54,92,550337.96,groceries,cash,completed,error: Field 'sale_price' not found
55,1/28/2021,8484.65,55,50,952141.92,clothing,credit card,pending,error: Field 'sale_price' not found
56,6/7/2022,2613.64,56,66,30795.14,clothing,check,pending,error: Field 'sale_price' not found
57,12/31/2021,3683.75,57,53,450563.38,groceries,cash,pending,error: Field 'sale_price' not found
58,4/25/2020,9426.28,58,98,398236.2,electronics,check,pending,error: Field 'sale_price' not found
59,8/3/2021,4233.02,59,86,812911.66,electronics,check,pending,error: Field 'sale_price' not found
60,2/16/2021,1901.12,60,35,874915.13,groceries,check,refunded,error: Field 'sale_price' not found
61,11/23/2022,4576.58,61,71,77492.35,clothing,credit card,pending,error: Field 'sale_price' not found
62,5/30/2021,9806.88,62,36,867784.01,groceries,cash,pending,error: Field 'sale_price' not found
63,4/30/2022,3482.27,63,41,238504.44,groceries,credit card,pending,error: Field 'sale_price' not found
64,7/22/2020,7396.31,64,39,877052.23,clothing,credit card,refunded,error: Field 'sale_price' not found
65,2/22/2022,1426.17,65,65,863493.1,electronics,cash,refunded,error: Field 'sale_price' not found
66,8/13/2021,1081.31,66,68,982500.07,groceries,credit card,refunded,error: Field 'sale_price' not found
67,1/17/2022,6508.51,67,37,460943.1,electronics,check,refunded,error: Field 'sale_price' not found
68,5/25/2021,3320.77,68,75,788260.38,groceries,credit card,completed,error: Field 'sale_price' not found
69,5/17/2020,9264.02,69,25,649750.76,electronics,check,refunded,error: Field 'sale_price' not found
70,5/21/2022,9442.95,70,65,459051.92,electronics,cash,completed,error: Field 'sale_price' not found
71,4/8/2022,7514.81,71,71,245224.86,electronics,check,pending,error: Field 'sale_price' not found
72,7/18/2020,292.45,72,94,431312.85,electronics,check,pending,error: Field 'sale_price' not found
73,11/8/2022,8952.0,73,98,153361.75,groceries,check,pending,error: Field 'sale_price' not found
74,7/9/2021,9977.68,74,60,252683.74,electronics,check,pending,error: Field 'sale_price' not found
75,12/1/2020,6357.09,75,73,213629.29,electronics,credit card,pending,error: Field 'sale_price' not found
76,4/2/2020,310.65,76,91,973105.88,groceries,cash,completed,error: Field 'sale_price' not found
77,9/10/2022,6880.27,77,62,316507.34,groceries,cash,refunded,error: Field 'sale_price' not found
78,2/28/2020,7005.06,78,38,204367.11,clothing,cash,completed,error: Field 'sale_price' not found
79,9/22/2022,2783.67,79,21,732313.42,electronics,credit card,completed,error: Field 'sale_price' not found
80,10/24/2020,3482.31,80,18,590748.59,clothing,cash,completed,error: Field 'sale_price' not found
81,12/24/2020,207.41,81,71,44671.02,clothing,check,refunded,error: Field 'sale_price' not found
82,12/18/2020,9858.05,82,87,72581.09,groceries,cash,pending,error: Field 'sale_price' not found
83,9/23/2020,990.37,83,82,921305.3,electronics,credit card,completed,error: Field 'sale_price' not found
84,9/9/2020,21.9,84,50,750659.47,electronics,cash,pending,error: Field 'sale_price' not found
85,3/10/2021,5962.42,85,55,508137.26,clothing,credit card,completed,error: Field 'sale_price' not found
86,7/10/2021,7949.06,86,68,872148.17,groceries,credit card,completed,error: Field 'sale_price' not found
87,4/1/2020,7775.89,87,44,353336.36,electronics,cash,pending,error: Field 'sale_price' not found
88,8/18/2022,1779.11,88,57,96108.73,electronics,credit card,pending,error: Field 'sale_price' not found
89,7/2/2022,9067.44,89,68,962711.72,groceries,check,refunded,error: Field 'sale_price' not found
90,2/28/2020,2041.97,90,63,835773.97,groceries,credit card,refunded,error: Field 'sale_price' not found
91,1/16/2020,9242.02,91,65,215621.11,clothing,credit card,refunded,error: Field 'sale_price' not found
92,9/10/2020,5659.94,92,64,531270.38,groceries,credit card,refunded,error: Field 'sale_price' not found
93,12/2/2021,4159.7,93,47,155641.84,clothing,check,refunded,error: Field 'sale_price' not found
94,1/10/2022,2074.62,94,58,949096.05,electronics,credit card,completed,error: Field 'sale_price' not found
95,12/1/2022,3101.22,95,64,562971.22,electronics,check,pending,error: Field 'sale_price' not found
96,6/15/2020,3443.03,96,96,570783.09,clothing,check,refunded,error: Field 'sale_price' not found
97,2/18/2020,9866.41,97,36,571985.11,clothing,credit card,completed,error: Field 'sale_price' not found
98,11/20/2021,4560.72,98,19,828247.32,groceries,cash,refunded,error: Field 'sale_price' not found
99,11/14/2022,5625.41,99,92,346511.38,groceries,cash,pending,error: Field 'sale_price' not found
100,4/8/2022,9377.25,100,66,517685.05,clothing,check,completed,error: Field 'sale_price' not found
101,7/17/2022,108.75,101,67,719950.65,clothing,cash,refunded,error: Field 'sale_price' not found
102,11/5/2020,7000.68,102,22,442946.1,groceries,credit card,completed,error: Field 'sale_price' not found
103,6/13/2020,4848.62,103,18,950536.5,groceries,credit card,pending,error: Field 'sale_price' not found
104,5/28/2022,5506.56,104,65,947249.74,groceries,cash,completed,error: Field 'sale_price' not found
105,11/3/2020,8041.48,105,56,753856.37,electronics,check,pending,error: Field 'sale_price' not found
106,10/30/2022,1927.77,106,74,517820.31,electronics,check,completed,error: Field 'sale_price' not found
107,3/5/2020,3153.06,107,100,774120.49,clothing,check,completed,error: Field 'sale_price' not found
108,12/30/2021,6883.31,108,78,659735.89,clothing,check,completed,error: Field 'sale_price' not found
109,10/13/2021,5806.64,109,55,378946.12,electronics,cash,completed,error: Field 'sale_price' not found
110,2/9/2020,9353.0,110,38,365384.02,clothing,cash,pending,error: Field 'sale_price' not found
111,11/17/2021,7445.35,111,33,514454.2,clothing,credit card,pending,error: Field 'sale_price' not found
112,11/28/2022,3271.06,112,34,775275.53,clothing,credit card,refunded,error: Field 'sale_price' not found
113,10/8/2020,6979.29,113,77,508540.57,clothing,check,completed,error: Field 'sale_price' not found
114,2/22/2020,6154.24,114,65,223608.41,electronics,cash,refunded,error: Field 'sale_price' not found
115,12/18/2021,4754.92,115,33,518858.14,clothing,cash,refunded,error: Field 'sale_price' not found
116,1/11/2021,7163.45,116,49,927769.42,groceries,credit card,pending,error: Field 'sale_price' not found
117,8/21/2022,9466.04,117,82,58742.0,clothing,credit card,completed,error: Field 'sale_price' not found
118,10/15/2021,2039.45,118,30,13853.71,electronics,credit card,completed,error: Field 'sale_price' not found
119,11/15/2021,5234.58,119,82,401844.37,electronics,credit card,refunded,error: Field 'sale_price' not found
120,3/26/2020,2086.54,120,37,483510.87,clothing,credit card,refunded,error: Field 'sale_price' not found
121,2/22/2020,4284.11,121,90,646034.23,electronics,credit card,refunded,error: Field 'sale_price' not found
122,2/4/2022,4420.27,122,98,12943.68,groceries,cash,pending,error: Field 'sale_price' not found
123,10/26/2020,4070.43,123,62,57260.13,clothing,credit card,refunded,error: Field 'sale_price' not found
124,1/16/2020,4939.69,124,34,606853.62,groceries,credit card,refunded,error: Field 'sale_price' not found
125,4/2/2021,9167.61,125,64,743410.32,electronics,cash,pending,error: Field 'sale_price' not found
126,5/6/2021,9530.7,126,77,949513.41,clothing,credit card,completed,error: Field 'sale_price' not found
127,2/28/2021,2456.03,127,63,336551.44,groceries,check,refunded,error: Field 'sale_price' not found
128,7/19/2022,6588.76,128,47,259957.74,electronics,credit card,refunded,error: Field 'sale_price' not found
129,8/10/2021,4537.37,129,23,187250.05,clothing,credit card,pending,error: Field 'sale_price' not found
130,8/22/2020,1600.13,130,43,142609.54,groceries,credit card,pending,error: Field 'sale_price' not found
131,12/1/2022,4873.91,131,62,213797.72,groceries,cash,pending,error: Field 'sale_price' not found
132,6/26/2021,5387.98,132,98,82401.23,clothing,cash,pending,error: Field 'sale_price' not found
133,8/21/2022,2216.01,133,88,291440.13,groceries,check,pending,error: Field 'sale_price' not found
134,2/17/2021,7665.06,134,99,861029.64,electronics,check,refunded,error: Field 'sale_price' not found
135,8/26/2020,6267.69,135,28,387754.86,groceries,credit card,completed,error: Field 'sale_price' not found
136,9/13/2021,1411.66,136,76,40263.68,groceries,check,refunded,error: Field 'sale_price' not found
137,12/15/2022,2855.56,137,70,179483.57,groceries,credit card,completed,error: Field 'sale_price' not found
138,10/9/2020,979.42,138,31,277804.4,groceries,cash,completed,error: Field 'sale_price' not found
139,11/30/2020,1745.26,139,77,141140.79,groceries,cash,completed,error: Field 'sale_price' not found
140,8/30/2021,9597.49,140,97,32428.71,clothing,check,refunded,error: Field 'sale_price' not found
141,1/16/2021,8191.93,141,26,87357.49,clothing,credit card,completed,error: Field 'sale_price' not found
142,2/25/2020,5446.59,142,96,372122.49,electronics,check,pending,error: Field 'sale_price' not found
143,12/7/2020,7571.74,143,38,494602.98,groceries,credit card,refunded,error: Field 'sale_price' not found
144,7/15/2022,5195.57,144,97,444491.53,electronics,check,refunded,error: Field 'sale_price' not found
145,11/23/2022,1597.03,145,47,317567.66,electronics,check,completed,error: Field 'sale_price' not found
146,3/13/2021,5263.19,146,20,824513.59,clothing,check,pending,error: Field 'sale_price' not found
